Water plants,,,,TODO,,,Bruno,ToDoListId[id=26020972-86b0-4277-acbe-0003e1681b00],TaskId[id=15355688-1a07-4e84-a139-f56f1c0e1959]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=51b15a70-1a68-44dc-abbd-410c28c80586],TaskId[id=fc1f3d45-3766-4812-92cd-9608d069bbc1]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=5370e17e-440c-4d58-9b16-a943bc2bdbf7],TaskId[id=d85119a2-6b6f-4e19-bc9e-17a4424214a6]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=e61bf53a-fad0-480b-98d8-c93d4c680b0f],TaskId[id=0e02c593-cd7a-4254-ba13-178ae9e92533]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=432def3e-de1e-4db3-ba8b-22ae611956d6],TaskId[id=f1cb0036-5a46-4121-8420-569a0f375f1d]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=c246ca81-d012-4b01-abb1-15da28bffb44],TaskId[id=65ff223e-032c-42c1-a86d-b8557544f2f0]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=5f8c3059-a409-4256-ac34-8dbec13a6bd5],TaskId[id=9c44dd7b-fd4d-497d-abd0-10ec5ec2e22c]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=df178f9e-6e2e-40aa-8050-9e19b91829e5],TaskId[id=acfd19dc-eee2-4d35-b5c4-c8615d9c0789]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=6df863c8-cb6a-41ac-bece-adaddc46cae4],TaskId[id=7ee73ce1-f4f2-490c-a4bd-576d3162faa3]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=5ebe0139-d7d9-4201-9db8-58e07a25be1e],TaskId[id=336366ab-fe67-4ba6-8db9-2e23a3eb7a95]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=a1a97245-83c8-4335-a0f7-0b57f25cbf46],TaskId[id=c5c79466-ed4c-4a1e-a29a-4bb21d9b504f]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=ce59f9a6-627d-4803-8dae-9e6014dc6c6f],TaskId[id=289a36c7-04fa-4de6-a2bd-c6c047a0a681]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=c5c09fe5-f017-41b7-a62e-34a8f8a6bc9b],TaskId[id=6d14e56f-d491-4089-a0b7-ee3ac429ee33]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=9bc12bf7-daf2-4666-ac4c-05ce8f594b50],TaskId[id=71626324-a6ef-4fcf-b395-96551403973a]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=2e0b86d9-25ef-4a5d-8093-131ccf989911],TaskId[id=12e21fcc-352f-4b63-aaa1-15d07ada4a95]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=00f65719-30cd-443e-851d-c1c10e910847],TaskId[id=7ad71a38-9d5a-4cc0-bbdd-4aa22c09ee3a]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=a82fc8a0-2933-4312-8d87-4223ceee9229],TaskId[id=a9118d6b-1ac2-431f-94bf-28e45ce60bc4]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=b11f7e5b-2553-4e42-9045-09448cc7d42e],TaskId[id=f42f3be2-3238-4dc0-b2ac-500ddccd2e35]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=f99f7008-c477-4c16-a0f9-caa4e633f88d],TaskId[id=ebc20315-6c61-4ac7-bd74-ce4f19cdb0f4]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=5cb6479b-74ce-43db-9f52-627b46fbe0d9],TaskId[id=9af3c329-84d1-462b-af4e-38c2180ea6e9]
Water plants,,,,TODO,,,Bruno,ToDoListId[id=29662c25-6f62-4f5f-9373-3fefa0dedb7d],TaskId[id=08686a5b-3f5e-46a7-96e0-5905ba5f0e37]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=a4bad6f3-eb43-4a9a-a6a5-7fd2b434d588],TaskId[id=4b77c456-927a-4a9a-88ed-3bcdfc329060]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=24c19b48-7194-4009-8e32-8b8e6106433a],TaskId[id=3d9475e8-879a-41c8-a994-43a26dc0c3e9]
Water plants,Water all the plants in the living room and in the bedroom.,home,2023-05-30,TODO,HIGH,,Bruno,ToDoListId[id=8abda646-eb7a-403c-ae01-5a5040f52f5a],TaskId[id=0cd7eb4b-fc37-4da6-9742-1c688e4120bd]
